## NONE

| scancode | row | col | physical label | token byte | decoded name |
|---|---:|---:|:---|---|:---|
| 0x01 | 0x0 | 0x1 | DOWN alt | 0xC9 | tok:0xC9 |
| 0x02 | 0x0 | 0x2 | LEFT | 0x04 | EQ (=) |
| 0x03 | 0x0 | 0x3 | RIGHT | 0x02 | 0x02 |
| 0x04 | 0x0 | 0x4 | UP | 0x01 | 0x01 |
| 0x05 | 0x0 | 0x5 | key0x05 | 0x03 | 0x03 |
| 0x06 | 0x0 | 0x6 | key0x06 | 0x00 | NONE |
| 0x07 | 0x0 | 0x7 | key0x07 | 0x00 | NONE |
| 0x08 | 0x0 | 0x8 | key0x08 | 0x00 | NONE |
| 0x09 | 0x0 | 0x9 | ENTER | 0x00 | NONE |
| 0x0A | 0x0 | 0xA | (+) | 0x05 | 0x05 |
| 0x0B | 0x0 | 0xB | (-) | 0x80 | tok:PI |
| 0x0C | 0x0 | 0xC | (*) | 0x81 | tok:INV |
| 0x0D | 0x0 | 0xD | (/) | 0x82 | tok:SIN |
| 0x0E | 0x0 | 0xE | (^) | 0x83 | tok:COS |
| 0x0F | 0x0 | 0xF | CLEAR | 0x84 | tok:TAN |
| 0x10 | 0x1 | 0x0 | (-) | 0x09 | ENTER |
| 0x11 | 0x1 | 0x1 | VARS | 0x00 | NONE |
| 0x12 | 0x1 | 0x2 | CLEAR | 0x8C | tok:MATH |
| 0x13 | 0x1 | 0x3 | PRGM | 0x91 | tok:X_VAR |
| 0x14 | 0x1 | 0x4 | STAT | 0x94 | 0x94 |
| 0x15 | 0x1 | 0x5 | X,T,theta,n | 0x97 | 0x97 |
| 0x16 | 0x1 | 0x6 | MATH | 0x86 | tok:LN |
| 0x17 | 0x1 | 0x7 | APPS | 0xBB | tok:0xBB |
| 0x18 | 0x1 | 0x8 | MODE | 0x35 | 5 |
| 0x19 | 0x1 | 0x9 | DEL | 0x00 | NONE |
| 0x1A | 0x1 | 0xA | 2ND | 0x8D | tok:APPS |
| 0x1B | 0x1 | 0xB | ALPHA | 0x90 | tok:CLEAR |
| 0x1C | 0x1 | 0xC | ON | 0x93 | tok:ON |
| 0x1D | 0x1 | 0xD | STO | 0x96 | 0x96 |
| 0x1E | 0x1 | 0xE | LN | 0x85 | tok:EXP |
| 0x1F | 0x1 | 0xF | LOG | 0xB9 | tok:0xB9 |
| 0x20 | 0x2 | 0x0 | SQUARE | 0x2D | - |
| 0x21 | 0x2 | 0x1 | RECIP | 0x31 | 1 |
| 0x22 | 0x2 | 0x2 | SIN | 0x8E | tok:PRGM |
| 0x23 | 0x2 | 0x3 | COS | 0x8F | tok:VARS |
| 0x24 | 0x2 | 0x4 | TAN | 0x92 | tok:STAT |
| 0x25 | 0x2 | 0x5 | POWER | 0x95 | 0x95 |
| 0x26 | 0x2 | 0x6 | COMMA | 0x8B | tok:Ans |
| 0x27 | 0x2 | 0x7 | LPAREN | 0xB7 | tok:0xB7 |
| 0x28 | 0x2 | 0x8 | RPAREN | 0x2C | 0x2C |
| 0x29 | 0x2 | 0x9 | DIVIDE | 0xB4 | tok:0xB4 |
| 0x2A | 0x2 | 0xA | MULT | 0x00 | NONE |
| 0x2B | 0x2 | 0xB | MINUS | 0x8A | tok:STO |
| 0x2C | 0x2 | 0xC | PLUS | 0xBF | tok:0xBF |
| 0x2D | 0x2 | 0xD | key0x2D | 0xC1 | tok:0xC1 |
| 0x2E | 0x2 | 0xE | key0x2E | 0xBD | tok:0xBD |
| 0x2F | 0x2 | 0xF | key0x2F | 0xB6 | tok:0xB6 |
| 0x30 | 0x3 | 0x0 | 0 | 0x32 | 2 |
| 0x31 | 0x3 | 0x1 | 1 | 0x00 | NONE |
| 0x32 | 0x3 | 0x2 | 2 | 0x44 | D |
| 0x33 | 0x3 | 0x3 | 3 | 0x5A | Z |
| 0x34 | 0x3 | 0x4 | 4 | 0x2E | . |
| 0x35 | 0x3 | 0x5 | 5 | 0x48 | H |
| 0x36 | 0x3 | 0x6 | 6 | 0x49 | I |
| 0x37 | 0x3 | 0x7 | 7 | 0x00 | NONE |
| 0x38 | 0x3 | 0x8 | 8 | 0x45 | E |
| 0x39 | 0x3 | 0x9 | 9 | 0x0A | [+] |

## 2nd

| scancode | row | col | physical label | token byte | decoded name |
|---|---:|---:|:---|---|:---|
| 0x01 | 0x0 | 0x1 | DOWN alt | 0x04 | EQ (=) |
| 0x02 | 0x0 | 0x2 | LEFT | 0x0E | [^] |
| 0x03 | 0x0 | 0x3 | RIGHT | 0x0F | [(] |
| 0x04 | 0x0 | 0x4 | UP | 0x03 | 0x03 |
| 0x05 | 0x0 | 0x5 | key0x05 | 0x00 | NONE |
| 0x06 | 0x0 | 0x6 | key0x06 | 0x00 | NONE |
| 0x07 | 0x0 | 0x7 | key0x07 | 0x00 | NONE |
