| rawScan | offset | physLabel | NONE hex | NONE dec | 2nd hex | 2nd dec | ALPHA hex | ALPHA dec | 2ndALPHA hex | 2ndALPHA dec |
|:---|---:|:---|:---|:---|:---|:---|:---|:---|:---|:---|
| N/A | 0 | (no key) | 0xC9 | tok:0xC9 | 0x04 | EQ | 0x02 | tok:0x02 | 0x01 | tok:0x01 |
| 0x00 | 1 | DOWN | 0x04 | EQ | 0x0E | [^] | 0x01 | tok:0x01 | 0x07 | tok:0x07 |
| 0x01 | 2 | LEFT | 0x02 | tok:0x02 | 0x0F | [(] | 0x07 | tok:0x07 | 0x00 | NONE |
| 0x02 | 3 | RIGHT | 0x01 | tok:0x01 | 0x03 | tok:0x03 | 0x00 | NONE | 0x00 | NONE |
| 0x03 | 4 | UP | 0x03 | tok:0x03 | 0x00 | NONE | 0x00 | NONE | 0x00 | NONE |
| 0x04 | 5 | key0x04 | 0x00 | NONE | 0x00 | NONE | 0x00 | NONE | 0x00 | NONE |
| 0x05 | 6 | key0x05 | 0x00 | NONE | 0x00 | NONE | 0x00 | NONE | 0x06 | tok:0x06 |
| 0x06 | 7 | key0x06 | 0x00 | NONE | 0x00 | NONE | 0x06 | tok:0x06 | 0xCB | tok:0xCB |
| 0x07 | 8 | key0x07 | 0x00 | NONE | 0x0D | [/] | 0xCB | tok:0xCB | 0xF8 | tok:0xF8 |
| 0x10 | 9 | ENTER | 0x05 | tok:0x05 | 0x36 | '6' | 0xB0 | tok:0xB0 | 0xF3 | tok:0xF3 |
| 0x11 | 10 | + | 0x80 | tok:PI | 0x88 | tok:SQR | 0xAB | tok:0xAB | 0xEE | tok:0xEE |
| 0x12 | 11 | - | 0x81 | tok:INV | 0x87 | tok:LOG | 0xA6 | tok:0xA6 | 0xE9 | tok:0xE9 |
| 0x13 | 12 | x | 0x82 | tok:SIN | 0xEF | tok:0xEF | 0xA1 | tok:0xA1 | 0x09 | ENTER |
| 0x14 | 13 | / | 0x83 | tok:COS | 0xB5 | tok:0xB5 | 0x09 | ENTER | 0x00 | NONE |
| 0x15 | 14 | ^ | 0x84 | tok:TAN | 0x09 | ENTER | 0x00 | NONE | 0xCA | tok:0xCA |
| 0x16 | 15 | CLEAR | 0x09 | ENTER | 0x00 | NONE | 0xCA | tok:0xCA | 0xCC | tok:0xCC |
| 0x17 | 16 | key0x17 | 0x00 | NONE | 0xC5 | tok:0xC5 | 0xCC | tok:0xCC | 0xF7 | tok:0xF7 |
| 0x20 | 17 | (-) | 0x8C | tok:MATH | 0xF5 | tok:0xF5 | 0xAF | tok:0xAF | 0xF2 | tok:0xF2 |
| 0x21 | 18 | 3 | 0x91 | tok:X_VAR | 0xF8 | tok:0xF8 | 0xAA | tok:0xAA | 0xED | tok:0xED |
| 0x22 | 19 | 6 | 0x94 | tok:0x94 | 0xFB | tok:0xFB | 0xA5 | tok:0xA5 | 0xE8 | tok:0xE8 |
| 0x23 | 20 | 9 | 0x97 | tok:0x97 | 0xED | tok:0xED | 0xA0 | tok:0xA0 | 0x35 | '5' |
| 0x24 | 21 | ) | 0x86 | tok:LN | 0xBC | tok:0xBC | 0x35 | '5' | 0x00 | NONE |
| 0x25 | 22 | TAN | 0xBB | tok:0xBB | 0x38 | '8' | 0x00 | NONE | 0xC6 | tok:0xC6 |
| 0x26 | 23 | VARS | 0x35 | '5' | 0x00 | NONE | 0xC6 | tok:0xC6 | 0xFB | tok:0xFB |
| 0x27 | 24 | key0x27 | 0x00 | NONE | 0xEE | tok:0xEE | 0xB3 | tok:0xB3 | 0xF6 | tok:0xF6 |
| 0x30 | 25 | . | 0x8D | tok:APPS | 0xF4 | tok:0xF4 | 0xAE | tok:0xAE | 0xF1 | tok:0xF1 |
| 0x31 | 26 | 2 | 0x90 | tok:CLEAR | 0xF7 | tok:0xF7 | 0xA9 | tok:0xA9 | 0xEC | tok:0xEC |
| 0x32 | 27 | 5 | 0x93 | tok:ON | 0xFA | tok:0xFA | 0xA4 | tok:0xA4 | 0xE7 | tok:0xE7 |
| 0x33 | 28 | 8 | 0x96 | tok:0x96 | 0xEC | tok:0xEC | 0x9F | tok:0x9F | 0xE4 | tok:0xE4 |
| 0x34 | 29 | ( | 0x85 | tok:EXP | 0xBA | tok:0xBA | 0x9C | tok:0x9C | 0x31 | '1' |
| 0x35 | 30 | COS | 0xB9 | tok:0xB9 | 0x2F | '/' | 0x31 | '1' | 0x99 | tok:0x99 |
